,Unnamed: 0,id0,q3_m_job,q4_m_jobtype,q13_mom_livewith,q13_f_livewith,q14_familysize,q15_num_kids,q48_8,q48_10,q70,q72,q73,SES_school,age_father,age_gr_father,asset_heating_central_combi,asset_heating_stove,asset_private_bathroom,asset_private_toilet,SES_lower,s_weight,obese_s_01,overweight_obese_s,obese_s_012
Unnamed: 0,,0.9999830681262415,,,,,,,,,,,,,,,,,,,,,,,
id0,0.9999830681262415,,,,,,,,,,,,,,,,,,,,,,,,
q3_m_job,,,,0.8382826256264048,,,,,,,,,,,,,,,,,,,,,
q4_m_jobtype,,,0.8382826256264048,,,,,,,,,,,,,,,,,,,,,,
q13_mom_livewith,,,,,,0.8651587688829413,,,,,,,,,,,,,,,,,,,
q13_f_livewith,,,,,0.8651587688829413,,,,,,,,,,,,,,,,,,,,
q14_familysize,,,,,,,,0.8198705218248045,,,,,,,,,,,,,,,,,
q15_num_kids,,,,,,,0.8198705218248045,,,,,,,,,,,,,,,,,,
q48_8,,,,,,,,,,0.8239629897000486,,,,,,,,,,,,,,,
q48_10,,,,,,,,,0.8239629897000486,,,,,,,,,,,,,,,,
q70,,,,,,,,,,,,,,,,,0.8292611508350105,,,,,,,,
q72,,,,,,,,,,,,,,,,,,,0.9587118054933057,,,,,,
q73,,,,,,,,,,,,,,,,,,,,0.8518441171522191,,,,,
SES_school,,,,,,,,,,,,,,,,,,,,,0.8949269517618395,,,,
age_father,,,,,,,,,,,,,,,,0.918173454653868,,,,,,,,,
age_gr_father,,,,,,,,,,,,,,,0.918173454653868,,,,,,,,,,
asset_heating_central_combi,,,,,,,,,,,0.8292611508350105,,,,,,,0.9614378697615552,,,,,,,
asset_heating_stove,,,,,,,,,,,,,,,,,0.9614378697615552,,,,,,,,
asset_private_bathroom,,,,,,,,,,,,0.9587118054933057,,,,,,,,,,,,,
asset_private_toilet,,,,,,,,,,,,,0.8518441171522191,,,,,,,,,,,,
SES_lower,,,,,,,,,,,,,,0.8949269517618395,,,,,,,,,,,
s_weight,,,,,,,,,,,,,,,,,,,,,,,,,0.8152350877499283
obese_s_01,,,,,,,,,,,,,,,,,,,,,,,,,0.8406522804603274
overweight_obese_s,,,,,,,,,,,,,,,,,,,,,,,,,0.9165549630054841
obese_s_012,,,,,,,,,,,,,,,,,,,,,,0.8152350877499283,0.8406522804603274,0.9165549630054841,
